image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00000,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00000,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00001,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00001,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00002,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00002,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00003,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00003,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00004,grad_cam,resnet50,0.2,0.0,25.0,75.0
image_00004,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00005,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00005,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00006,grad_cam,resnet50,0.025,1.0,0.0,5.0
image_00006,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00007,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00007,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00008,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00008,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00009,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00009,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00010,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00010,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00011,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00011,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00012,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00012,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00013,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00013,grad_cam,mobilenet_v2,0.15,0.0,10.0,75.0
image_00014,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00014,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00015,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00015,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00016,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00016,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00017,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00017,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00018,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00018,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00019,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00019,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00020,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00020,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00021,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00021,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00022,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00022,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00023,grad_cam,resnet50,0.375,-1.0,0.0,75.0
image_00023,grad_cam,mobilenet_v2,0.25,0.0,50.0,75.0
image_00024,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00024,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00025,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00025,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00026,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00026,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00027,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00027,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00028,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00028,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00029,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00029,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00030,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00030,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00031,grad_cam,resnet50,0.6,0.0,50.0,75.0
image_00031,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00032,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00032,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00033,grad_cam,resnet50,0.575,1.0,0.0,5.0
image_00033,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00034,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00034,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00035,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00035,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00036,grad_cam,resnet50,0.725,-1.0,5.0,75.0
image_00036,grad_cam,mobilenet_v2,0.725,-1.0,5.0,75.0
image_00037,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00037,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00038,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00038,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00039,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00039,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00040,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00040,grad_cam,mobilenet_v2,0.5,0.0,25.0,50.0
image_00041,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00041,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00042,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00042,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00043,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00043,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00044,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00044,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00045,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00045,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00046,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00046,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00047,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00047,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00048,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00048,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00049,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00049,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00050,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00050,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00051,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00051,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00052,grad_cam,resnet50,0.3,0.0,10.0,25.0
image_00052,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00053,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00053,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00054,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00054,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00055,grad_cam,resnet50,0.0,0.0,0.0,75.0
