image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00000,grad_cam,resnet50,1.0,21656.796875,1.3168708086013794,10.534526824951172,0.24204799107142858
image_00000,grad_cam,mobilenet_v2,1.0,21656.796875,1.3168708086013794,10.534526824951172,0.24204799107142858
image_00001,grad_cam,resnet50,1.0,25306.474609375,0.9827337265014648,10.690093040466309,0.07071109693877552
image_00001,grad_cam,mobilenet_v2,1.0,25306.474609375,0.9827337265014648,10.690093040466309,0.07071109693877552
image_00002,grad_cam,resnet50,1.0,15564.7109375,2.2237026691436768,10.525293350219727,0.15868144132653061
image_00002,grad_cam,mobilenet_v2,1.0,15564.7109375,2.2237026691436768,10.525293350219727,0.15868144132653061
image_00003,grad_cam,resnet50,1.0,22472.439453125,1.2327793836593628,10.602212905883789,0.13283242984693877
image_00003,grad_cam,mobilenet_v2,1.0,22472.439453125,1.2327793836593628,10.602212905883789,0.13283242984693877
image_00004,grad_cam,resnet50,1.0,11723.83203125,3.279829263687134,10.275897979736328,0.4379783163265306
image_00004,grad_cam,mobilenet_v2,0.0,11723.83203125,3.279829263687134,10.275897979736328,0.4379783163265306
image_00005,grad_cam,resnet50,1.0,32866.984375,0.526638388633728,10.723851203918457,0.05482700892857143
image_00005,grad_cam,mobilenet_v2,1.0,32866.984375,0.526638388633728,10.723851203918457,0.05482700892857143
image_00006,grad_cam,resnet50,0.0,20082.4375,1.4985015392303467,10.563227653503418,0.1988201530612245
image_00006,grad_cam,mobilenet_v2,0.0,20082.4375,1.4985015392303467,10.563227653503418,0.1988201530612245
image_00007,grad_cam,resnet50,0.0,21666.033203125,1.3158830404281616,10.640607833862305,0.11350047831632654
image_00007,grad_cam,mobilenet_v2,0.0,21666.033203125,1.3158830404281616,10.640607833862305,0.11350047831632654
image_00008,grad_cam,resnet50,1.0,18084.203125,1.774576187133789,10.526041030883789,0.1888751594387755
image_00008,grad_cam,mobilenet_v2,1.0,18084.203125,1.774576187133789,10.526041030883789,0.1888751594387755
image_00009,grad_cam,resnet50,1.0,10696.7890625,3.69075345993042,10.220489501953125,0.5052814094387755
image_00009,grad_cam,mobilenet_v2,1.0,10696.7890625,3.69075345993042,10.220489501953125,0.5052814094387755
image_00010,grad_cam,resnet50,1.0,10506.6298828125,3.775651216506958,10.106138229370117,0.5652901785714286
image_00010,grad_cam,mobilenet_v2,1.0,10506.6298828125,3.775651216506958,10.106138229370117,0.5652901785714286
image_00011,grad_cam,resnet50,1.0,13482.3505859375,2.7216062545776367,10.472137451171875,0.24956154336734693
image_00011,grad_cam,mobilenet_v2,1.0,13482.3505859375,2.7216062545776367,10.472137451171875,0.24956154336734693
image_00012,grad_cam,resnet50,1.0,14753.544921875,2.4009451866149902,10.414312362670898,0.3090919961734694
image_00012,grad_cam,mobilenet_v2,1.0,14753.544921875,2.4009451866149902,10.414312362670898,0.3090919961734694
image_00013,grad_cam,resnet50,1.0,14474.5732421875,2.4664924144744873,10.488042831420898,0.21717554209183673
image_00013,grad_cam,mobilenet_v2,0.0,14474.5732421875,2.4664924144744873,10.488042831420898,0.21717554209183673
image_00014,grad_cam,resnet50,1.0,14078.9775390625,2.5638952255249023,10.48449993133545,0.2302295918367347
image_00014,grad_cam,mobilenet_v2,1.0,14078.9775390625,2.5638952255249023,10.48449993133545,0.2302295918367347
image_00015,grad_cam,resnet50,1.0,18948.990234375,1.6479511260986328,10.584661483764648,0.1490154655612245
image_00015,grad_cam,mobilenet_v2,1.0,18948.990234375,1.6479511260986328,10.584661483764648,0.1490154655612245
image_00016,grad_cam,resnet50,1.0,20220.888671875,1.4813944101333618,10.603182792663574,0.14552774234693877
image_00016,grad_cam,mobilenet_v2,1.0,20220.888671875,1.4813944101333618,10.603182792663574,0.14552774234693877
image_00017,grad_cam,resnet50,1.0,22142.435546875,1.2660560607910156,10.68424129486084,0.0745376275510204
image_00017,grad_cam,mobilenet_v2,1.0,22142.435546875,1.2660560607910156,10.68424129486084,0.0745376275510204
image_00018,grad_cam,resnet50,1.0,15762.384765625,2.183274745941162,10.431922912597656,0.31640625
image_00018,grad_cam,mobilenet_v2,1.0,15762.384765625,2.183274745941162,10.431922912597656,0.31640625
image_00019,grad_cam,resnet50,1.0,23325.1484375,1.151154637336731,10.602282524108887,0.1340282206632653
image_00019,grad_cam,mobilenet_v2,1.0,23325.1484375,1.151154637336731,10.602282524108887,0.1340282206632653
image_00020,grad_cam,resnet50,1.0,20009.986328125,1.5075479745864868,10.595328330993652,0.15066964285714285
image_00020,grad_cam,mobilenet_v2,1.0,20009.986328125,1.5075479745864868,10.595328330993652,0.15066964285714285
image_00021,grad_cam,resnet50,0.0,12987.0478515625,2.863541603088379,10.286530494689941,0.4024035395408163
image_00021,grad_cam,mobilenet_v2,0.0,12987.0478515625,2.863541603088379,10.286530494689941,0.4024035395408163
