dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,5.0,0.79
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,10.0,0.78
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,15.0,0.774
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,20.0,0.767
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,25.0,0.765
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,30.0,0.76
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,35.0,0.756
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,40.0,0.755
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,45.0,0.72
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,50.0,0.7
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,55.0,0.697
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,60.0,0.672
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,65.0,0.636
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,70.0,0.601
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,75.0,0.56
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,80.0,0.466
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,85.0,0.354
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,90.0,0.236
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,95.0,0.085
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,100.0,0.001
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,5.0,0.798
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,10.0,0.788
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,15.0,0.781
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,20.0,0.778
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,25.0,0.77
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,30.0,0.762
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,35.0,0.758
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,40.0,0.737
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,45.0,0.725
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,50.0,0.707
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,55.0,0.698
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,60.0,0.668
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,65.0,0.637
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,70.0,0.598
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,75.0,0.55
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,80.0,0.475
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,85.0,0.368
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,90.0,0.229
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,95.0,0.117
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,100.0,0.056
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,5.0,0.79
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,10.0,0.783
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,15.0,0.772
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,20.0,0.767
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,25.0,0.771
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,30.0,0.771
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,35.0,0.76
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,40.0,0.757
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,45.0,0.746
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,50.0,0.723
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,55.0,0.719
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,60.0,0.69
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,65.0,0.664
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,70.0,0.631
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,75.0,0.586
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,80.0,0.52
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,85.0,0.415
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,90.0,0.306
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,95.0,0.13
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,100.0,0.001
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,5.0,0.792
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,10.0,0.787
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,15.0,0.782
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,20.0,0.773
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,25.0,0.775
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,30.0,0.772
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,35.0,0.765
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,40.0,0.764
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,45.0,0.755
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,50.0,0.732
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,55.0,0.722
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,60.0,0.702
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,65.0,0.674
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,70.0,0.637
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,75.0,0.59
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,80.0,0.53
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,85.0,0.408
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,90.0,0.294
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,95.0,0.117
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,100.0,0.003
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,5.0,0.785
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,10.0,0.774
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,15.0,0.757
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,20.0,0.745
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,25.0,0.747
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,30.0,0.73
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,35.0,0.711
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,40.0,0.702
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,45.0,0.671
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,50.0,0.656
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,55.0,0.642
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,60.0,0.602
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,65.0,0.569
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,70.0,0.529
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,75.0,0.463
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,80.0,0.364
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,85.0,0.241
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,90.0,0.129
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,95.0,0.048
