dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,0.61375,0.241
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,0.6186250000000001,0.251
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,0.6351,0.21500000000000008
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,0.6386499999999999,0.21100000000000008
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,0.5633,0.338
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,0.59285,0.28
imagenet,independent,dino+u2net_sum,resnet50,black,0.754025,0.18400000000000005
imagenet,independent,dino+u2net_sum,resnet50,blur,0.7836250000000001,0.16100000000000003
imagenet,independent,dino+u2net_sum,resnet50,gray,0.7579250000000001,0.19800000000000006
imagenet,independent,dino+u2net_sum,resnet50,mean,0.7686999999999999,0.18000000000000005
imagenet,independent,dino+u2net_sum,resnet50,random_noise,0.7151249999999999,0.252
imagenet,independent,dino+u2net_sum,resnet50,white,0.7229249999999999,0.238
imagenet,independent,dino+u2net_sum,vgg16,black,0.42292500000000005,0.575
imagenet,independent,dino+u2net_sum,vgg16,blur,0.6137,0.2889999999999999
imagenet,independent,dino+u2net_sum,vgg16,gray,0.509925,0.43599999999999994
imagenet,independent,dino+u2net_sum,vgg16,mean,0.5415,0.41
imagenet,independent,dino+u2net_sum,vgg16,random_noise,0.518725,0.42599999999999993
imagenet,independent,dino+u2net_sum,vgg16,white,0.4600249999999999,0.5149999999999999
imagenet,independent,dino448,mobilenet_v2,black,0.63905,0.2240000000000001
imagenet,independent,dino448,mobilenet_v2,blur,0.6209250000000001,0.257
imagenet,independent,dino448,mobilenet_v2,gray,0.6496999999999999,0.20000000000000007
imagenet,independent,dino448,mobilenet_v2,mean,0.6524500000000001,0.18600000000000005
imagenet,independent,dino448,mobilenet_v2,random_noise,0.5561499999999999,0.38700000000000007
imagenet,independent,dino448,mobilenet_v2,white,0.5980000000000001,0.29800000000000004
imagenet,independent,dino448,resnet50,black,0.7819750000000001,0.16500000000000004
imagenet,independent,dino448,resnet50,blur,0.768125,0.20300000000000007
imagenet,independent,dino448,resnet50,gray,0.7551250000000002,0.20800000000000007
imagenet,independent,dino448,resnet50,mean,0.7578500000000001,0.21100000000000008
imagenet,independent,dino448,resnet50,random_noise,0.6960249999999999,0.3410000000000001
imagenet,independent,dino448,resnet50,white,0.7157749999999998,0.28800000000000003
imagenet,independent,dino448,vgg16,black,0.418625,0.581
imagenet,independent,dino448,vgg16,blur,0.6224,0.31099999999999994
imagenet,independent,dino448,vgg16,gray,0.501475,0.4799999999999999
imagenet,independent,dino448,vgg16,mean,0.53265,0.44699999999999995
