image_id,occlusion_level,is_correct
image_00000,5,1
image_00001,5,1
image_00002,5,1
image_00003,5,1
image_00004,5,0
image_00005,5,1
image_00006,5,1
image_00007,5,1
image_00008,5,1
image_00009,5,1
image_00010,5,0
image_00011,5,1
image_00012,5,1
image_00013,5,1
image_00014,5,1
image_00015,5,1
image_00016,5,1
image_00017,5,1
image_00018,5,1
image_00019,5,1
image_00020,5,1
image_00021,5,0
image_00022,5,1
image_00023,5,1
image_00024,5,1
image_00025,5,1
image_00026,5,1
image_00027,5,1
image_00028,5,1
image_00029,5,0
image_00030,5,1
image_00031,5,0
image_00032,5,1
image_00033,5,1
image_00034,5,1
image_00035,5,1
image_00036,5,1
image_00037,5,1
image_00038,5,1
image_00039,5,1
image_00040,5,1
image_00041,5,1
image_00042,5,1
image_00043,5,1
image_00044,5,1
image_00045,5,1
image_00046,5,0
image_00047,5,1
image_00048,5,1
image_00049,5,1
image_00050,5,1
image_00051,5,1
image_00052,5,1
image_00053,5,1
image_00054,5,1
image_00055,5,0
image_00056,5,0
image_00057,5,1
image_00058,5,0
image_00059,5,1
image_00060,5,0
image_00061,5,1
image_00062,5,1
image_00063,5,1
image_00064,5,1
image_00065,5,1
image_00066,5,0
image_00067,5,1
image_00068,5,1
image_00069,5,1
image_00070,5,1
image_00071,5,1
image_00072,5,1
image_00073,5,0
image_00074,5,1
image_00075,5,1
image_00076,5,1
image_00077,5,1
image_00078,5,1
image_00079,5,1
image_00080,5,1
image_00081,5,1
image_00082,5,1
image_00083,5,1
image_00084,5,1
image_00085,5,1
image_00086,5,1
image_00087,5,1
image_00088,5,1
image_00089,5,1
image_00090,5,1
image_00091,5,1
image_00092,5,1
image_00093,5,1
image_00094,5,1
image_00095,5,1
image_00096,5,1
image_00097,5,1
image_00098,5,1
image_00099,5,1
image_00100,5,1
image_00101,5,1
image_00102,5,1
image_00103,5,1
image_00104,5,0
image_00105,5,1
image_00106,5,1
image_00107,5,0
image_00108,5,1
image_00109,5,1
image_00110,5,1
image_00111,5,1
image_00112,5,1
image_00113,5,1
image_00114,5,1
image_00115,5,1
image_00116,5,1
image_00117,5,1
image_00118,5,0
image_00119,5,1
image_00120,5,1
image_00121,5,1
image_00122,5,1
image_00123,5,1
image_00124,5,1
image_00125,5,1
image_00126,5,1
image_00127,5,1
image_00128,5,1
image_00129,5,1
image_00130,5,1
image_00131,5,1
image_00132,5,1
image_00133,5,1
image_00134,5,1
image_00135,5,1
image_00136,5,1
image_00137,5,1
image_00138,5,1
image_00139,5,1
image_00140,5,1
image_00141,5,1
image_00142,5,1
image_00143,5,1
image_00144,5,1
image_00145,5,1
image_00146,5,1
image_00147,5,1
image_00148,5,1
image_00149,5,1
image_00150,5,1
image_00151,5,1
image_00152,5,1
image_00153,5,1
image_00154,5,1
image_00155,5,1
image_00156,5,1
image_00157,5,1
image_00158,5,1
image_00159,5,1
image_00160,5,1
image_00161,5,1
image_00162,5,1
image_00163,5,1
image_00164,5,1
image_00165,5,1
image_00166,5,1
image_00167,5,1
image_00168,5,1
image_00169,5,1
image_00170,5,1
image_00171,5,1
image_00172,5,1
image_00173,5,1
image_00174,5,1
image_00175,5,0
image_00176,5,1
image_00177,5,1
image_00178,5,1
image_00179,5,1
image_00180,5,1
image_00181,5,1
image_00182,5,1
image_00183,5,1
image_00184,5,0
image_00185,5,1
image_00186,5,0
image_00187,5,1
image_00188,5,1
image_00189,5,1
image_00190,5,1
image_00191,5,1
image_00192,5,1
image_00193,5,0
image_00194,5,1
image_00195,5,1
image_00196,5,1
image_00197,5,0
image_00198,5,1
image_00199,5,1
image_00200,5,1
image_00201,5,1
image_00202,5,1
image_00203,5,1
image_00204,5,1
