image_id,occlusion_level,is_correct
image_00700,40,0
image_00701,40,0
image_00702,40,0
image_00703,40,0
image_00704,40,0
image_00705,40,1
image_00706,40,0
image_00707,40,1
image_00708,40,1
image_00709,40,1
image_00710,40,0
image_00711,40,1
image_00712,40,0
image_00713,40,0
image_00714,40,0
image_00715,40,0
image_00716,40,1
image_00717,40,0
image_00718,40,1
image_00719,40,0
image_00720,40,0
image_00721,40,1
image_00722,40,0
image_00723,40,1
image_00724,40,1
image_00725,40,1
image_00726,40,1
image_00727,40,0
image_00728,40,0
image_00729,40,0
image_00730,40,1
image_00731,40,1
image_00732,40,0
image_00733,40,1
image_00734,40,0
image_00735,40,0
image_00736,40,0
image_00737,40,1
image_00738,40,1
image_00739,40,0
image_00740,40,0
image_00741,40,0
image_00742,40,0
image_00743,40,0
image_00744,40,0
image_00745,40,1
image_00746,40,1
image_00747,40,0
image_00748,40,1
image_00749,40,0
image_00750,40,0
image_00751,40,1
image_00752,40,0
image_00753,40,1
image_00754,40,0
image_00755,40,1
image_00756,40,1
image_00757,40,0
image_00758,40,0
image_00759,40,1
image_00760,40,1
image_00761,40,0
image_00762,40,0
image_00763,40,0
image_00764,40,0
image_00765,40,0
image_00766,40,0
image_00767,40,0
image_00768,40,0
image_00769,40,1
image_00770,40,1
image_00771,40,0
image_00772,40,1
image_00773,40,0
image_00774,40,0
image_00775,40,0
image_00776,40,0
image_00777,40,1
image_00778,40,1
image_00779,40,1
image_00780,40,0
image_00781,40,1
image_00782,40,1
image_00783,40,1
image_00784,40,1
image_00785,40,0
image_00786,40,1
image_00787,40,1
image_00788,40,0
image_00789,40,1
image_00790,40,1
image_00791,40,1
image_00792,40,0
image_00793,40,1
image_00794,40,0
image_00795,40,1
image_00796,40,0
image_00797,40,1
image_00798,40,1
image_00799,40,0
image_00800,40,0
image_00801,40,0
image_00802,40,1
image_00803,40,1
image_00804,40,0
image_00805,40,0
image_00806,40,0
image_00807,40,0
image_00808,40,0
image_00809,40,1
image_00810,40,0
