image_id,occlusion_level,is_correct
image_00900,75,1
image_00901,75,0
image_00902,75,0
image_00903,75,0
image_00904,75,0
image_00905,75,0
image_00906,75,0
image_00907,75,0
image_00908,75,0
image_00909,75,0
image_00910,75,0
image_00911,75,0
image_00912,75,0
image_00913,75,0
image_00914,75,0
image_00915,75,0
image_00916,75,0
image_00917,75,0
image_00918,75,0
image_00919,75,0
image_00920,75,1
image_00921,75,0
image_00922,75,0
image_00923,75,0
image_00924,75,0
image_00925,75,0
image_00926,75,0
image_00927,75,0
image_00928,75,0
image_00929,75,0
image_00930,75,0
image_00931,75,0
image_00932,75,0
image_00933,75,0
image_00934,75,0
image_00935,75,0
image_00936,75,0
image_00937,75,0
image_00938,75,0
image_00939,75,0
image_00940,75,0
image_00941,75,0
image_00942,75,0
image_00943,75,0
image_00944,75,0
image_00945,75,0
image_00946,75,0
image_00947,75,0
image_00948,75,0
image_00949,75,0
image_00950,75,0
image_00951,75,0
image_00952,75,1
image_00953,75,0
image_00954,75,0
image_00955,75,0
image_00956,75,0
image_00957,75,1
image_00958,75,0
image_00959,75,0
image_00960,75,0
image_00961,75,0
image_00962,75,0
image_00963,75,0
image_00964,75,0
image_00965,75,0
image_00966,75,0
image_00967,75,0
image_00968,75,0
image_00969,75,0
image_00970,75,0
image_00971,75,0
image_00972,75,0
image_00973,75,0
image_00974,75,0
image_00975,75,0
image_00976,75,0
image_00977,75,0
image_00978,75,0
image_00979,75,0
image_00980,75,1
image_00981,75,0
image_00982,75,0
image_00983,75,0
image_00984,75,1
image_00985,75,1
image_00986,75,1
image_00987,75,0
image_00988,75,0
image_00989,75,0
image_00990,75,1
image_00991,75,0
image_00992,75,1
image_00993,75,0
image_00994,75,0
image_00995,75,0
image_00996,75,0
image_00997,75,0
image_00998,75,0
image_00999,75,0
image_00000,80,0
image_00001,80,0
image_00002,80,0
image_00003,80,0
image_00004,80,0
image_00005,80,0
image_00006,80,0
image_00007,80,0
image_00008,80,0
image_00009,80,1
image_00010,80,0
image_00011,80,0
image_00012,80,0
image_00013,80,0
image_00014,80,0
image_00015,80,0
image_00016,80,0
image_00017,80,0
image_00018,80,0
image_00019,80,0
image_00020,80,0
image_00021,80,0
image_00022,80,0
image_00023,80,0
image_00024,80,0
image_00025,80,1
image_00026,80,0
image_00027,80,0
image_00028,80,0
image_00029,80,0
image_00030,80,1
image_00031,80,0
image_00032,80,0
image_00033,80,0
image_00034,80,0
image_00035,80,0
image_00036,80,0
image_00037,80,1
image_00038,80,0
image_00039,80,0
image_00040,80,0
image_00041,80,0
image_00042,80,0
image_00043,80,0
image_00044,80,0
image_00045,80,1
image_00046,80,0
image_00047,80,0
image_00048,80,0
image_00049,80,0
image_00050,80,0
image_00051,80,0
image_00052,80,0
image_00053,80,0
image_00054,80,0
image_00055,80,0
image_00056,80,0
image_00057,80,0
image_00058,80,0
image_00059,80,0
image_00060,80,0
image_00061,80,0
image_00062,80,0
image_00063,80,0
image_00064,80,0
image_00065,80,0
image_00066,80,0
image_00067,80,0
image_00068,80,0
image_00069,80,0
image_00070,80,0
image_00071,80,0
image_00072,80,0
image_00073,80,0
image_00074,80,0
image_00075,80,0
image_00076,80,0
image_00077,80,0
image_00078,80,0
image_00079,80,0
image_00080,80,0
image_00081,80,1
image_00082,80,0
image_00083,80,0
image_00084,80,1
image_00085,80,0
image_00086,80,1
image_00087,80,0
image_00088,80,0
image_00089,80,0
image_00090,80,0
image_00091,80,0
image_00092,80,0
image_00093,80,0
image_00094,80,0
image_00095,80,0
image_00096,80,0
image_00097,80,0
image_00098,80,1
image_00099,80,0
image_00100,80,0
image_00101,80,0
image_00102,80,0
image_00103,80,0
image_00104,80,0
image_00105,80,0
image_00106,80,0
image_00107,80,0
image_00108,80,0
image_00109,80,0
image_00110,80,0
image_00111,80,0
image_00112,80,0
image_00113,80,0
image_00114,80,0
image_00115,80,0
image_00116,80,1
image_00117,80,0
image_00118,80,0
image_00119,80,0
image_00120,80,0
image_00121,80,0
image_00122,80,0
image_00123,80,0
image_00124,80,0
image_00125,80,0
image_00126,80,0
image_00127,80,0
image_00128,80,1
image_00129,80,0
image_00130,80,0
image_00131,80,0
image_00132,80,1
